а	and,but,oh well,while
ампервольтметр	ampere-voltmeter,avometer,voltammeter
амперметр	ammeter,amperemeter
ампир	empire style
амплифицировать	amplificate
ампула	ampoul,ampoule,ampula,ampule,ampulla,vial
ампутированный	amputee
ампутировать	amputate
амузия	amusia
амулет	amulet
амуниция	accoutrements,military equipment
амур	amur
амфиартроз	amphiarthrosis
амфиболия	amphiboly
амфибореальный	amphiboreal
амфимакр	amphimacer,cretic,paeon diagyios
амфимиктический	amphimictic
амфипатический	amphipathic,amphiphilic
амфисбена	amphisbaena,amphisbaina,amphisbene,amphisboena,amphisbona,amphista
амфитрита	amphitrite
амфицельный	amphicoelous
амфодонтоз	amphodontosis
амфолит	ampholyte
амфора	amphora
амфотерность	amphotericity,amphoterism
амфотерный	amphoteric
амхара	amhara
амхарский	amharic
амшенец	hemshin
амёба	amoeba
амёбный	ameban,amebic
амёбоидный	amoebiform,amoeboid
амёбообразный	ameboid
анабаптистка	anabaptist
анабиоз	anabiosis
анабиотический	anabiotic
анаболик	anabolic
анаболия	anaboly
анадромный	anadromous
анадырь	anadyr
анаколуф	anacoluthon
анакруза	anacrusis
анал	a-level,anal
аналекты	analecta
аналемма	analemma
аналептик	analeptic
аналептический	analeptic
анализатор	analyzer
анализировать	analyze
аналитик	analyst
аналитика	analytics
аналитически	analytically
аналитический	analytic,analytical
аналог	analogue,counterpart,equivalent
аналогично	similarly
аналогичный	analogous,similar
аналоговый	analog
аналой	lectern
анальгетик	analgesic,painkiller
анальгин	metamizole
анаморфоз	anamorphosis
ананас	pineapple
ананказм	anancasm
анапа	anapa
анапест	anapaest,anapest
анаплазия	anaplasia,cataplasia
анаптиксис	anaptyxis
анархизм	anarchism
анархист	anarchist
анархистский	anarchist
анархически	anarchically
анархический	anarchic,anarchical
анархичный	anarchic,anarchical
анархия	anarchy
анастасия	anastasia,anastasian
анастигматизм	anastigmatism
анастомоз	anastomosis
анастомозировать	anastomose
анатолий	anatoly
анатом	anatomist
анатомирование	anatomy,dissection
анатомировать	anatomize,dissect
анатомически	anatomically
анатомический	anatomic,anatomical
анатомия	anatomy
анафилаксия	anaphylaxis
анафора	anaphora
анафорез	anaphoresis
анафорически	anaphorically
анафоричный	anaphoric
анахорет	anchorite
анахронизм	anachronism
ангажемент	engagement
ангажированность	commitment
ангара	angara
ангвантибо	angwantibo,calabar angwantibo
ангедония	anhedonia
ангел	angel,darling,dear,innocent
ангелок	little angel
ангелология	angelology
ангельский	angelic,angelical
ангидраза	anhydrase
ангидрид	anhydride
ангидрит	anhydrite
ангиографический	angiographic
ангиография	angiography
ангиологический	angiological
ангиома	angioma
ангиопатия	angiopathy
ангиостомия	angiostomy
ангиотензин	angiotensin
ангиотромбоз	angiothrombosis
ангиофиброз	angiofibrosis
ангиоэнцефалопатия	angioencephalopathy
англизм	anglicism
английский	english
англиканец	anglican
англиканин	anglican
англиканский	anglican
англиканство	anglicanism
англистика	anglistics studies
англицизм	anglicism
англичанин	english,englishman
англичанка	englishwoman
англия	england
англоговорящий	english speaking
англоканадец	british canadian
англоман	anglomaniac
англомания	anglomania
англоманство	anglomania
англосаксонский	anglo-saxon
англофильский	anglophilic
англоязычный	anglophone
ангола	angola
анголар	angolar
анголец	angolan
анголка	angolan
ангольский	angolan
ангстрем	angstrom
андалузец	andalusian
андалузский	andalusian
андеграунд	underground
анджей	andrzej
анджела	angela
андорра	andorra
андорранец	andorran
андоррец	andorran
андреевич	andreyevich
андреевский	andreyevsky
андрей	andrei,andrew
андроген	androgen
андрогенный	androgenic,androgenous
андрогин	androgyne
андрогиния	androgyny
андрогинофор	androgynophore
андроид	android
андроидофон	android phone
андролог	andrologist
андрология	andrology
андромеда	andromeda
андрон	andron
андроник	andronicus
андроним	andronymic
андростендион	androstenedione
андростерон	androsterone
андрофилия	androphilia
андрофобия	androphobia
андрофор	androphore
андроцей	androecium
